iter	Logloss
0	0.6675065091
1	0.6417580186
2	0.6215188949
3	0.601790014
4	0.5859211252
5	0.5716662395
6	0.5578872525
7	0.5460991658
8	0.5362296202
9	0.5263381361
10	0.5172744033
11	0.5097669244
12	0.5033913589
13	0.4971938425
14	0.4918137131
15	0.4875785822
16	0.482283944
17	0.4782784998
18	0.4744066813
19	0.4706430539
20	0.4671659189
21	0.464089348
22	0.4614791101
23	0.4589698842
24	0.4566774468
25	0.4547495222
26	0.4527625943
27	0.4509452031
28	0.4492548028
29	0.4477099503
30	0.4460459631
31	0.4443194952
32	0.4432826411
33	0.4420498745
34	0.4408009564
35	0.4395029556
36	0.4385358359
37	0.4376196554
38	0.4366622929
39	0.4357744616
40	0.4348668753
41	0.4339091135
42	0.4332062628
43	0.4324779027
44	0.4317010906
45	0.4311953435
46	0.43067653
47	0.4297751394
48	0.4291292416
49	0.4283437232
50	0.4277097498
51	0.4269913665
52	0.4264859791
53	0.4260389387
54	0.4254703792
55	0.425015583
56	0.4243342085
57	0.4239124556
58	0.4233611219
59	0.4230163453
60	0.4223797423
61	0.4219928403
62	0.4212689898
63	0.4208653431
64	0.4205286914
65	0.4201906968
66	0.419848314
67	0.4193824248
68	0.4191090665
69	0.4187837086
70	0.4184622508
71	0.4181791236
72	0.4179011903
73	0.4176722859
74	0.4173411176
75	0.4170088984
76	0.4167273896
77	0.4164768409
78	0.4161373026
79	0.4159818576
80	0.4154961059
81	0.4152181002
82	0.4149472688
83	0.4147520101
84	0.4143552154
85	0.4140165365
86	0.4137787811
87	0.4136158744
88	0.413366442
89	0.4130728453
90	0.4128398727
91	0.412633479
92	0.4121747103
93	0.411947004
94	0.411535417
95	0.4113345838
96	0.4112091039
97	0.4109069621
98	0.4106707456
99	0.4104365632
100	0.4102800719
101	0.4101458927
102	0.4098906616
103	0.4096290339
104	0.4094335861
105	0.4091131325
106	0.4086957351
107	0.4085205584
108	0.4081394971
109	0.4079662051
110	0.4076332362
111	0.4073078246
112	0.4071249692
113	0.4069208875
114	0.4065990935
115	0.4064106425
116	0.4062447115
117	0.4061289375
118	0.4059606572
119	0.405824145
120	0.4056986464
121	0.405482206
122	0.405214971
123	0.4050679076
124	0.4049254005
125	0.4046497465
